group,income,weight
29歳以下,379.0,0.87
29歳以下,351.2,0.9267
29歳以下,346.5,1.0866
29歳以下,314.4,1.0867
29歳以下,287.0,0.974
29歳以下,183.3,0.9793
29歳以下,267.5,1.0848
29歳以下,275.5,0.8328
29歳以下,231.3,0.8389
29歳以下,295.2,0.9422
29歳以下,365.9,1.018
29歳以下,642.6,1.0966
29歳以下,335.3,1.2713
29歳以下,346.1,1.1786
29歳以下,305.1,1.026
29歳以下,151.4,1.0471
29歳以下,179.9,0.9654
29歳以下,310.7,0.8996
29歳以下,270.4,1.1119
29歳以下,240.3,0.9262
29歳以下,280.1,1.1393
29歳以下,324.9,0.9273
29歳以下,147.5,1.3639
29歳以下,288.7,0.8991
29歳以下,359.4,0.8679
29歳以下,550.3,1.2237
29歳以下,257.7,1.1687
29歳以下,230.8,1.1436
29歳以下,259.3,1.1443
29歳以下,444.4,1.0482
29歳以下,355.6,0.9154
29歳以下,256.6,1.0614
29歳以下,381.4,0.9484
29歳以下,325.6,1.1963
29歳以下,453.4,1.0279
29歳以下,277.1,1.0018
29歳以下,324.4,1.0645
29歳以下,321.1,1.0472
29歳以下,291.7,1.0984
29歳以下,1373.8,0.9288
29歳以下,233.0,0.924
29歳以下,277.7,0.9601
29歳以下,427.5,0.7314
29歳以下,196.6,0.9711
29歳以下,342.1,0.9361
29歳以下,515.7,1.0726
29歳以下,170.4,1.1013
29歳以下,336.6,1.3314
29歳以下,346.4,1.1926
29歳以下,422.4,0.9635
29歳以下,196.1,0.9152
29歳以下,190.0,1.1238
29歳以下,382.7,0.852
29歳以下,351.3,1.3247
29歳以下,375.7,1.0775
29歳以下,800.2,1.0067
29歳以下,209.6,1.1808
29歳以下,174.1,1.373
29歳以下,351.9,0.9259
29歳以下,309.7,1.1279
29歳以下,201.3,1.2799
29歳以下,484.5,1.0337
29歳以下,417.6,1.1103
29歳以下,423.9,1.1535
29歳以下,222.1,0.9898
29歳以下,534.8,1.0836
29歳以下,184.2,1.0519
29歳以下,392.2,1.0647
29歳以下,721.4,0.934
29歳以下,215.4,1.0537
29歳以下,253.1,1.1247
29歳以下,325.9,1.2677
29歳以下,259.2,1.1939
29歳以下,322.1,0.9349
29歳以下,428.9,1.0305
29歳以下,221.3,1.3785
29歳以下,568.7,1.0035
29歳以下,547.7,1.0121
29歳以下,288.0,0.8628
29歳以下,322.0,1.2949
29歳以下,182.6,0.8355
29歳以下,255.2,0.984
29歳以下,327.3,1.0696
29歳以下,202.6,1.2662
29歳以下,362.0,0.8346
29歳以下,249.8,1.2245
29歳以下,280.9,1.0515
29歳以下,249.7,0.9028
29歳以下,634.4,1.1193
29歳以下,312.2,1.0799
29歳以下,209.9,0.96
29歳以下,429.0,1.0605
29歳以下,183.5,0.8963
29歳以下,197.3,0.9922
29歳以下,222.2,0.5638
29歳以下,213.6,0.911
29歳以下,116.0,1.0986
29歳以下,297.7,0.9998
29歳以下,401.4,0.9788
29歳以下,559.8,0.952
29歳以下,287.1,1.3148
29歳以下,287.1,1.1107
29歳以下,571.9,0.8609
